brands,naics_code,placekey,location_name,street_address,city,enclosed,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts
"[{'brand_id': 'SG_BRAND_04a8ca7bf49e7ecb4a32451676e929f0', 'brand_name': 'Walmart Supercenter Canada'}]",452319,222-223@65y-rxx-djv,Walmart Supercenter,141 Washington Avenue Ext,Albany,False,2021-08-01T00:00:00-04:00,2021-09-01T00:00:00-04:00,4453,2873
"[{'brand_id': 'SG_BRAND_748ba381dd81bb8de615319837ffa350', 'brand_name': 'Taco Bell'}]",722513,224-222@5vg-7gv-d7q,Taco Bell,710 3rd St,San Francisco,False,2021-08-01T00:00:00-07:00,2021-09-01T00:00:00-07:00,185,112
[],713110,zzw-222@8fy-fjg-b8v,Walt Disney World Resort,Walt Disney World Resort,Orlando,False,2021-08-01T00:00:00-04:00,2021-09-01T00:00:00-04:00,646366,124362
[],531120,zzy-227@5sb-8cw-pjv,O'Hare International Airport,10000 Bessie Coleman Dr,Franklin Park,False,2021-08-01T00:00:00-05:00,2021-09-01T00:00:00-05:00,274595,100615
